DuplicateGroupID,Action,RowNumber,QID,Source,Exam,Number,Topic,Subtopic,Difficulty,CorrectLetter,VerifiedAnswer,VerificationStatus,Question
1,DELETE_CANDIDATE,14,1014,SCP,1,14,Productionizing Pipelines,Workflow deployment and recovery,Easy,E,E,Confirmed,Which of the following data workloads will utilize a Bronze table as its destination?
1,KEEP,283,1308,SCP,6,20,Productionizing Pipelines,Workflow deployment and recovery,Easy,C,C,Confirmed,Which of the following data workloads will utilize a Bronze table as its destination?
2,DELETE_CANDIDATE,30,1030,SCP,1,30,Data Processing & Transformations,DDL and DML features,Medium,B,B,Confirmed,A data engineer wants to make a new table from different data sources and change the data a bit. They want to do this in one step without changing the original data. Which SQL command is the best for making a new table and changing the data at the same time?
2,KEEP,160,1164,SCP,3,50,Data Processing & Transformations,DDL and DML features,Medium,A,A,Confirmed,A data engineer wants to make a new table from different data sources and change the data a bit. They want to do this in one step without changing the original data. Which SQL command is the best for making a new table and changing the data at the same time?
3,DELETE_CANDIDATE,31,1031,SCP,1,31,Databricks Intelligence Platform,Optimize data layout and query performance,Medium,B,B,Confirmed,"A data engineer notices that the data files linked to a Delta table are unusually small, leading to suboptimal performance. They decide to consolidate these small files into fewer, larger files to enhance query efficiency. Which keyword should be used to achieve the consolidation of small files?"
3,KEEP,214,1226,SCP,4,56,Databricks Intelligence Platform,Optimize data layout and query performance,Medium,D,D,Confirmed,"A data engineer notices that the data files linked to a Delta table are unusually small, leading to suboptimal performance. They decide to consolidate these small files into fewer, larger files to enhance query efficiency. Which keyword should be used to achieve the consolidation of small files?"
4,DELETE_CANDIDATE,32,1032,SCP,1,32,Databricks Intelligence Platform,Optimize data layout and query performance,Hard,A,A,Confirmed,"A data engineer is implementing a data pipeline that requires updates, deletions, and merges into a large dataset stored on a distributed file system. The engineer needs to ensure that these operations are performed reliably and consistently, with the ability to handle concurrent modifications without data corruption or loss. Which feature should the data engineer leverage to guarantee atomic, consistent, isolated, and durable (ACID) transactions within their data pipeline?"
4,KEEP,186,1192,SCP,4,22,Databricks Intelligence Platform,Optimize data layout and query performance,Hard,C,C,Confirmed,"A data engineer is implementing a data pipeline that requires updates, deletions, and merges into a large dataset stored on a distributed file system. The engineer needs to ensure that these operations are performed reliably and consistently, with the ability to handle concurrent modifications without data corruption or loss. Which feature should the data engineer leverage to guarantee atomic, consistent, isolated, and durable (ACID) transactions within their data pipeline?"
5,DELETE_CANDIDATE,33,1033,SCP,1,33,Productionizing Pipelines,Workflow deployment and recovery,Medium,D,D,Confirmed,"You have a scheduled weekly job that compiles analytics reports. Stakeholders depend on these reports for their Monday morning meetings. It‘s crucial that any job failures are addressed promptly, and stakeholders are updated on the status of their reports. How should you set up the job to ensure stakeholders are promptly informed about the status of the analytics report job runs?"
5,KEEP,157,1161,SCP,3,47,Productionizing Pipelines,Workflow deployment and recovery,Medium,A,A,Confirmed,"You have a scheduled weekly job that compiles analytics reports. Stakeholders depend on these reports for their Monday morning meetings. It‘s crucial that any job failures are addressed promptly, and stakeholders are updated on the status of their reports. How should you set up the job to ensure stakeholders are promptly informed about the status of the analytics report job runs?"
6,DELETE_CANDIDATE,35,1035,SCP,1,35,Data Processing & Transformations,Medallion Architecture,Easy,B,B,Confirmed,"In the context of Databricks workflows, which pattern would you use to handle data at different stages of refinement, from raw to ready-for-use?"
6,KEEP,151,1154,SCP,3,40,Data Processing & Transformations,Medallion Architecture,Easy,C,C,Confirmed,"In the context of Databricks workflows, which pattern would you use to handle data at different stages of refinement, from raw to ready-for-use?"
