QID,Topic,Subtopic,Question,CorrectLetter,CorrectAnswer,miss_count,MemoryHook
1003,Databricks Intelligence Platform,Optimize data layout and query performance,"As a data engineer, you are working on a task to retain only those versions of sales Delta table which are not older than last 7 days. You have observed that directory associated with this table contains a large number of data files for all the historical versions since inception.
What will be the query that you will run to delete the files of sales table older than 1 week?   ",A,VACUUM sales RETAIN 168 HOURS,1,7 days = 168 hrs -> VACUUM ... RETAIN 168 HOURS
1004,Data Processing & Transformations,DDL and DML features,"Consider that you have a view employees_updates which shows the data of employees who has either joined your organization or resigned from your organization in the last month. The view has a column called type which describes the type of an employee. There is a delta table employees which has data for all the employees working in the company.
You want to incorporate this Change Data Capture (CDC) feed by inserting data of new employees and deleting data of former employees from employees delta table. Which of the following queries will help you to accomplish this task?",B,"MERGE INTO employees e
USING employees_updates eu
ON e.id = eu.id
WHEN MATCHED AND eu.type = “former“
THEN DELETE
WHEN NOT MATCHED AND eu.type = “new“
THEN INSERT *",0,"CDC: WHEN MATCHED->DELETE, WHEN NOT MATCHED->INSERT *"
1005,Data Processing & Transformations,DDL and DML features,"A junior data engineer has created a global temporary view called orders_vw to do some task. He is trying to run the following query on the view.
SELECT * FROM orders_vw
But, he is getting an error. As a senior data engineer, what correction you will suggest to your colleague in order to run this query?",B,SELECT * FROM global_temp.orders_vw,3,Global temp views live at global_temp.view_name
1006,Data Processing & Transformations,DDL and DML features,"Which of the following statements Databricks uses to allow insert, update and delete operations to be run as a single atomic transaction on a Delta table?",B, MERGE,0,INSERT+UPDATE+DELETE in one shot = MERGE
1007,Data Processing & Transformations,DDL and DML features,"You have to create a delta table players which contains the following columns:
playerId      playerName      playerRuns
      1                       Virat                23726
      2                     Yuvraj               11778
    . . . .                    . . . .                   . . . .
Which of the following SQL DDL commands is used to create an empty Delta table in the above format only if a table does not already exists with this name?",B,"CREATE TABLE IF NOT EXISTS players
(
playerId INT,
playerName STRING,
playerRuns LONG
);",1,CREATE TABLE IF NOT EXISTS: safety net before creation
1009,Data Processing & Transformations,PySpark aggregations,A team of data analysts is testing data in a table called sales using SQL. They want some help from the data engineering team on this table but the data engineers use Python in their Databricks notebooks. How can the data engineers query this table using PySpark?,C,spark.sql(“select * from sales“),0,PySpark SQL: spark.sql('SELECT * FROM table')
1010,Data Processing & Transformations,DDL and DML features,"Which of the below SQL DDL can be used to create a UDF to convert distance value from Miles to KM and vice-versa?
Note: If any other distance measure is provided then function should return the same value.",D,"CREATE FUNCTION convert_distance(distance DOUBLE, measure STRING)
RETURNS DOUBLE
RETURN
CASE
WHEN measure = “Miles“ THEN (distance * 1.60934)
WHEN measure = “KM“ THEN (distance * 0.621371)
ELSE distance
END;",0,UDF skeleton: CREATE FUNCTION -> RETURNS -> RETURN CASE WHEN
1011,Data Processing & Transformations,DDL and DML features,"As part of ingesting data, which of the following options will help you to overwrite the existing data and schema of a Delta table?",E,CREATE OR REPLACE TABLE,1,Overwrite data AND schema: CREATE OR REPLACE TABLE
1012,Data Processing & Transformations,PySpark aggregations,How can you inject the Python variables called table_name and database_name into a SQL query and execute it using PySpark?,C,spark.sql(f“SELECT * FROM {database_name}.{table_name}“),0,Python vars in SQL: spark.sql(f'SELECT * FROM {db}.{tbl}')
1013,Data Processing & Transformations,PySpark aggregations,Which of the following SQL commands will return the count of distinct product names from an existing Delta table called products?,A,SELECT COUNT(DISTINCT product_name) FROM products,0,Unique count: COUNT(DISTINCT column)
1016,Development and Ingestion,Understand notebook capabilities,"As a data engineer, you are working on a complex project using Databricks Lakehouse Platform. You want the ability to break down your code into simpler and reusable components. For this, you have designed a module having all the custom functions in a separate notebook which can be used in any other notebook.
Which of the following magic commands can be used to import the custom functions notebook to your current notebook?",C,%run,1,%run = run another notebook inline
1018,Databricks Intelligence Platform,Select appropriate compute,"A data analysis team consisting of 5 members is running queries on a SQL endpoint and performance of queries was quite okay. The number of concurrent users has been increased now from 5 to 50. Due to this, performance of SQL endpoint got impacted and queries are running too slowly. The cluster size has already been set to the maximum but still the queries are running slowly.
Which of the following approaches can the data analysis team use so that the queries run faster for all concurrent users?",D, Increase the maximum bound of the SQL endpoint's scaling range.,1,Slow SQL endpoint? Increase max scaling range
1020,Productionizing Pipelines,Workflow deployment and recovery,"A data engineer has set up two Jobs called A and B. Job A runs before Job B and the output of Job A is used as the input of Job B. If the Job A gets failed due to some reason then Job B cannot be run until Job A gets fixed and rerun successfully.
Which of the following statements is logically correct about the two Jobs A and B?",C,Job B has a dependency on Job A to get completed,0,Job dependency = Job B needs Job A to finish first
1023,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Which of the following statements correctly describe the Databricks Lakehouse Platform?,D,"Databricks Lakehouse Platform combines the best elements of data lakes and data warehouses to deliver reliability, strong governance and performance.",0,Lakehouse = data lake + data warehouse best of both
1024,Development and Ingestion,Use Auto Loader and debugging tools,"A data engineer is in the process of converting their existing data pipeline to utilize Auto Loader for incremental processing in the ingestion of JSON files.
streaming_df = (
spark
.readStream
.format(“cloudFiles“)
.______________________
.option(“cloudFiles.schemaLocation“, schemaLocation)
.load(sourcePath)
)
Which of the following code snippet should be used to fill above blank so that data engineer can use Auto Loader for ingesting the data?",B,"option(“cloudFiles.format“, “json“)",0,Auto Loader format option: cloudFiles.format
1025,Development and Ingestion,Use Auto Loader and debugging tools,"As a data engineer, you are working on a task to load external CSV files into a Delta table using the COPY INTO command given below.
COPY INTO my_table
FROM ‘/path/to/files‘
FILEFORMAT = CSV
After running the command once, the schema of the incoming data has changed in one of the files due to addition of a new column and data load got failed. Which of the following SQL commands will help you to overcome this issue?",B,"COPY INTO my_table
FROM ‘/path/to/files‘
FILEFORMAT = CSV
FORMAT_OPTIONS (‘mergeSchema‘ = ‘true‘)
COPY_OPTIONS (‘mergeSchema‘ = ‘true‘);",1,COPY INTO: FILEFORMAT + FORMAT_OPTIONS + COPY_OPTIONS
1026,Data Processing & Transformations,DDL and DML features,"A junior data engineer was typing up a query to manually delete some records from delta table products but he accidentally executed the following query and deleted all records from this table.
DELETE FROM products
You ran the following query: DESCRIBE HISTORY products and figured out that the latest version is 21. You need to roll back the delete operation and get the table back to its original version having all the data. Which of the following SQL statements will help you to accomplish this task?",E,RESTORE TABLE products TO VERSION AS OF 20,0,Oops! Undo: RESTORE TABLE ... TO VERSION AS OF N
1027,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,"You want to execute a block of code only when the value of variable isValid is 1 and value of variable isRunnable is True
Which of the following Python control flow statements will help you to achieve this task?",B,if isValid == 1 and isRunnable:,0,Python condition: if x == 1 and y: (integer truthy check)
1029,Development and Ingestion,Understand notebook capabilities,"In a Databricks notebook, all the cells contain code in Python language and you want to add another cell with a SQL statement in it. You changed the default language of the notebook to accomplish this task.
What changes (if any) can be seen in the already existing Python cells?",C,Magic command %python will be added at the beginning of all cells that contain Python code,0,Switching languages mid-notebook: add %python/%sql at cell top
1034,Data Processing & Transformations,DDL and DML features,"A data engineering team possesses two distinct tables: march_transactions, which aggregates all retail transactions for March, and april_transactions, encompassing all transactions for April. There are no duplicate records between the tables. To compile a new table, all_transactions, that merges records from both march_transactions and april_transactions without introducing duplicates, which command should be executed?",E,"CREATE TABLE all_transactions AS
SELECT * FROM march_transactions
UNION SELECT * FROM april_transactions;",0,Combine tables without dupes: UNION (not UNION ALL)
1058,Data Processing & Transformations,DDL and DML features,"When querying data from a CSV file in Databricks SQL, what prefix should be included after the FROM keyword to correctly interpret the source as a CSV file?",B,csv,0,CSV file prefix in FROM: csv.'path/to/file'
1061,Data Processing & Transformations,DDL and DML features,Which statement correctly describes the difference between a Temporary View and a Global Temporary View?,D,"Temporary Views are session-scoped and cannot be accessed by other Spark sessions, whereas Global Temporary Views are accessible across multiple Spark sessions within the same Spark application.",0,Temp view = session only; global_temp = whole app
1064,Data Processing & Transformations,DDL and DML features,"A data engineer is tasked with constructing a table in Databricks, sourcing data from the organization‘s pre-existing SQLite database. To accomplish this, they execute the command below:
CREATE TABLE jdbc_customer360
USING _____________
OPTIONS (
url “jdbc:sqlite:/customers.db“,
datatable “customer360“
)
Which option correctly completes the command to fulfill this requirement?",C,org.apache.spark.sql.jdbc,0,JDBC driver class: org.apache.spark.sql.jdbc
1068,Data Processing & Transformations,DDL and DML features,Which data type is typically involved when using the explode function?,C,ARRAY,0,explode() needs an ARRAY type column
1069,Data Processing & Transformations,DDL and DML features,Which function is typically used to convert a JSON string into a struct in SQL?,C,FROM_JSON,0,"JSON string -> struct: FROM_JSON(col, schema)"
1070,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,"A data engineering team at a retail company uses Databricks for analyzing sales data. The team needs to generate a weekly report that includes insights into sales performance across various regions, with data aggregated from millions of transactions stored in Delta Lake. The query to generate this report is complex and time-consuming, leading to delays. To improve efficiency, the team decides to implement a strategy that mirrors the concept of a materialized view within the Databricks environment. Which of the following strategies would best achieve this objective?",A,Create a new Delta Lake table that pre-aggregates the sales data on a daily basis and query this table for the weekly report.,0,"Pre-aggregate daily, query weekly = materialized summary table"
1072,Data Processing & Transformations,DDL and DML features,What SQL data type should be used to store an ordered collection of multiple names in a table?,D,ARRAY,0,Ordered collection of values = ARRAY type
1073,Data Processing & Transformations,PySpark aggregations,What is the primary use of the PIVOT clause in Spark SQL?,B,"To perform aggregation and convert rows into columns, transforming data from a long format to a wide format",0,PIVOT: rows -> columns (long format -> wide format)
1078,Data Processing & Transformations,DDL and DML features,"Consider the following Databricks Spark SQL code snippet. What does this code accomplish?
CREATE OR REPLACE TEMPORARY VIEW daily_sales AS
SELECT date, SUM(amount) AS total_sales
FROM sales
GROUP BY date;
CREATE OR REPLACE GLOBAL TEMP VIEW global_daily_sales AS
SELECT * FROM daily_sales;",A,"Creates a Temporary View daily_sales and a Global Temporary View global_daily_sales with the same data, but global_daily_sales can be accessed in any session within the application.",0,global_temp prefix = accessible across sessions in same app
1081,Databricks Intelligence Platform,Optimize data layout and query performance,"A data engineering team is experiencing slow query performance when extracting specific rows from a Delta table, where the relevant rows are dispersed across the data files. Despite optimizing the data file sizes, the issue persists. Which optimization strategy could enhance the query‘s speed under these circumstances?",D,Z-Ordering,0,Slow row lookups on specific column? Z-Ordering
